Source sentence,Answer sentence,Event1,Event2,labels
"First of America said some of the managers will take other jobs with First of America . But it said that severance payments to those executives not staying with the company will reduce First of America 's operating results for 1989 by $ 3 million to $ 4 million , or 15 cents to 20 cents a share . ",take and reduce have no relationship,take ,reduce ,NONE
"Price Stern Sloan Inc. said it hired an investment banking firm to assist in evaluating restructuring or merger alternatives and reported a net loss of $ 8.1 million , or $ 2.14 a share , for the third quarter ended Sept . 30 . These results compare with net income of $ 1.8 million , or 44 cents a share , for the corresponding period last year . ",reported and compare have no relationship,reported ,compare ,NONE
"But , he observes , while makers suffer losses when program trading drags the market down , they also make money when program trading pushes the prices higher . Peter DaPuzzo , head of retail equity trading at Shearson Lehman Hutton , acknowledges that he was n't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising . ",make and rising have no relationship,make ,rising ,NONE
"While competitors moved production offshore in response to the sagging competitiveness of Japanese factories , Sansui lacked the money to build new plants in Southeast Asia . ",competitiveness is the cause of moved ,competitiveness ,moved ,Cause-Effect
He 's expected to meet with Iraqi deputy prime minister Tariq Aziz later this afternoon . One major sticking point has been Iraq 's proposal to open it 's presidential sites for no more than sixty days . ,expected and open have no relationship,expected ,open ,NONE
"Mr. Perlman , who is also acting chief financial officer and the odds-on favorite to become the next chief executive , said the company is achieving "" modest positive cash flow from operations , and we expect that to continue into 1990 . "" Rather , Mr. Perlman said , Control Data intends to bid for the coming Minnesota lottery contract and is seeking new applications for the technology overseas , where "" there is great interest in games of skill . "" ",continue and bid have no relationship,continue ,bid ,NONE
"Last month , Polly Peck posted a 38 % jump in pretax profit for the first half to # 54.8 million from # 39.8 million on a 63 % rise in sales . "" The myths that Japan is not open to concerns from outside has , I think , been demolished at a stroke , "" Mr. Nadir said . ",posted and said have no relationship,posted ,said ,NONE
"Total Assets Protection Inc., rebounding from its earlier loss , expects to report earnings from operations of about $ 200,000 for the third quarter , J.C. Matlock , chairman , said . ",earnings and expects have no relationship,earnings ,expects ,NONE
"Mr. Thompson calls discounting "" a loser 's game for anyone without a dominant market share , "" and projected that Anheuser 's statement of intent could simply be a means of warning competitors to ease up on price-cutting or face a costly and fruitless battle . Some experts now predict Anheuser 's entry into the fray means near-term earnings trouble for all the industry players . ",projected and trouble have no relationship,projected ,trouble ,NONE
The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $ 160 million restructuring of its bank debt . ,restructuring is the cause of recapitalization ,restructuring ,recapitalization ,Cause-Effect
Long-term Treasury bonds ended slightly higher . The less-than-robust third-quarter results came amid renewed concern about the volatility of stock prices and the role of computer-aided program trading . ,ended and results have no relationship,ended ,results ,NONE
"Earlier , Mesa had rejected a general proposal from StatesWest to combine the two carriers in some way . StatesWest Airlines , Phoenix , Ariz . , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M., carrier did n't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response . ",proposal and close have no relationship,proposal ,close ,NONE
"Last month , Canadian Bond Rating Service downgraded Provigo 's commercial paper and debentures because of its lackluster performance . ",performance is the cause of downgraded ,performance ,downgraded ,Cause-Effect
"An intense manhunt conducted by the FBI and the bureau of alcohol , tobacco and firearms continues for Rudolph in the wilderness of western north Carolina . Army of god letters claim responsibility for the Atlanta abortion clinic bombing , a nineteen ninety-seven attack on a gay lounge and the Birmingham assault . ",continues and attack have no relationship,continues ,attack ,NONE
"His appointment to that post , which has senior administrative , staff and policy responsibilities , followed a several-year tenure as Reuters 's editor in chief . ",tenure is the cause of appointment ,tenure ,appointment ,Cause-Effect
"The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies . In a speech delivered at the Pentagon , Bush seemed to suggest that American forces could be in the gulf region for some time . ",meant and seemed have no relationship,meant ,seemed ,NONE
""" Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . "" The gain left wages 3.8 percent higher than a year earlier , extending a trend that has given back to workers some of the earning power they lost to inflation in the last decade . ",beat and lost have no relationship,beat ,lost ,NONE
But they said Friday 's focus on the top-tier stocks telegraphed active overseas selling and showed the broad-based fears over the status of the U.K. economy and Britain 's currency in the wake of the upheaval in Prime Minister Margaret Thatcher 's cabinet . ,upheaval is the cause of selling ,upheaval ,selling ,Cause-Effect
"Profit at the unit fell to $ 110.6 million , or 37 cents a share , from $ 142.4 million , or 45 cents a share , largely because of a $ 24 million one-time charge associated with Hughes 's previously announced plan to reduce employment by at least 6,000 people by year end . By contrast , Electronic Data Systems Corp., GM 's data processing subsidiary , boosted net 16 % . ",charge and boosted have no relationship,charge ,boosted ,NONE
President Clinton welcomed the job figures at a news conference Friday . The demand for workers also led employers to raise wages again last month . ,welcomed and raise have no relationship,welcomed ,raise ,NONE
"The offer , which was due to expire yesterday , is conditional on 50.1 % of Dunkin ' common shares , on a fully diluted basis , being tendered and on the withdrawal of the company 's poison pill rights plan . DD Acquisition said the extension is to allow this process to be completed . ",due and said have no relationship,due ,said ,NONE
"And at the big brokerage houses , after ten years of boom , they 're talking about layoffs . So for Hong Kong , it 's time , as investment bankers like to say , to reposition . ",layoffs and reposition have no relationship,layoffs ,reposition ,NONE
"Carnival , which has three ships on order from Waertsilae Marine , presented claims for $ 1.5 billion damages in the bankruptcy court this week . Under an accord signed yesterday , the government and Union Bank of Finland would become major shareholders in the new company , each injecting 100 million Finnish markkaa ( $ 23.5 million ) . ",presented and injecting have no relationship,presented ,injecting ,NONE
"Howes had been working for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996 . Nhek Bunchhay said he now believed Howes had been killed within a week of his capture by a Khmer Rouge faction loyal to Pol Pot , then the guerrilla group 's leader . ",abducted and believed have no relationship,abducted ,believed ,NONE
"Qantas ' India manager Khursheed Lam said the airline was working closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market . Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday . ",said and announced have no relationship,said ,announced ,NONE
""" We 're there to stay for a fairly lengthy period . "" Bush was expected to authorize naval commanders to use "" the minimum force necessary "" to interdict shipments to and from Iraq , a U.S. official said . ",stay and use have no relationship,stay ,use ,NONE
"Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 , claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men . Libya , which brought the case to the United Nations ' highest judicial body in its dispute with the United States and Britain , hailed the ruling and said it would press anew for a trial in a third neutral country . ",force and said have no relationship,force ,said ,NONE
"At the same time , the sheer size of the loss , coupled with a slowing of orders , made some securities analysts wonder just how strong that turnaround will be at the computer maker and defense-electronics concern . ",loss is the cause of wonder ,loss ,wonder ,Cause-Effect
"The sale , at a higher price than some analysts had expected , helps the food and tobacco giant raise funds to pay debt and boosts Nestle 's 7 % share of the U.S. candy market to about 12 % . RJR 's executives have said they will dispense with certain brands , in particular , that are n't leaders in their markets . ",boosts and leaders have no relationship,boosts ,leaders ,NONE
"MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park , and added it will need to seek additional financing , either through bank borrowings or debt and equity offerings , at a later date . The company said it estimates the Desert Inn remodeling will cost about $ 32 million , and the refurbishment of the three DC-8-62 aircraft , made by McDonnell Douglas Corp., will cost around $ 24.5 million . ",cover and said have no relationship,cover ,said ,NONE
"The proposed stock offering and issuance of nearly 1.8 million common shares in connection with the land purchase will bring MGM Grand 's total shares outstanding to 28.7 million , of which 72 % will be owned by Mr. Kerkorian and Tracinda , according to the prospectus . The company said it estimates the Desert Inn remodeling will cost about $ 32 million , and the refurbishment of the three DC-8-62 aircraft , made by McDonnell Douglas Corp., will cost around $ 24.5 million . ",bring and cost have no relationship,bring ,cost ,NONE
"Rally 's Inc. said it adopted a shareholders rights plan to protect shareholders from an inadequately priced takeover offer . The company said it was "" concerned about the announced intent to acquire control of the company "" by a Sugarman-led group . ",offer and concerned have no relationship,offer ,concerned ,NONE
"The following were among Friday 's offerings and pricings in the U.S. and non-U.S. capital markets , with terms and syndicate manager , as compiled by Dow Jones Capital Markets Report : @ CORPORATES Sun Microsystems Inc. -- $ 125 million of 6 3/8 % convertible subordinated debentures due Oct . 15 , 1999 , priced at 84.90 to yield 7.51 % . Hertz Corp. -- $ 100 million of senior notes due Nov . 1 , 2009 , priced at par to yield 9 % . ",due and priced have no relationship,due ,priced ,NONE
"Initial cost estimates for the plant , which was to have been built in phases , ranged from $ 1 billion to $ 1.2 billion . Last year , the company earned $ 480.4 million , or $ 3.90 a share , on sales of $ 4.3 billion . ",ranged and earned have no relationship,ranged ,earned ,NONE
"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . ",delayed is the cause of increasing ,delayed ,increasing ,Cause-Effect
"The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do . ",presumption is the cause of opinion ,presumption ,opinion ,Cause-Effect
Ah next up is that thirteen dollar a barrel level we saw in the winter of nineteen ninety-four . That according to the Lundberg survey of ten thousand gas stations nationwide . ,saw and according have no relationship,saw ,according ,NONE
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business , and took a $ 50.9 million loss from discontinued operations in the third quarter because of the planned sale . ",operations is the cause of loss ,operations ,loss ,Cause-Effect
"A major goal of Kuchma 's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations ' trade turnover , which fell to dlrs 14 billion last year , down dlrs 2.5 billion from 1996 . ",fell and aimed have no relationship,fell ,aimed ,NONE
"LIN now plans to dole out $ 42 a share in cash , up from the earlier $ 20 amount . But the big , often tumultuous slide in stock prices this month has turned some of those who have been profiting from the practice against it . ",plans and slide have no relationship,plans ,slide ,NONE
""" The reason this is getting so much visibility is that some started shipping and announced early availability , "" said Hewlett - Packard 's Mr. Archuleta . ",started is the cause of getting ,started ,getting ,Cause-Effect
"That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . Of course , there were sell programs in past years , too , but they seem to hurt market makers more painfully these days . ",measures is the cause of hurt ,measures ,hurt ,Cause-Effect
The Security Council has said it will not lift the sweeping sanctions imposed on Iraq after its 1990 invasion of Kuwait until the U.N. inspectors certify that Baghdad has eliminated its weapons of mass destruction . ,invasion is the cause of sanctions ,invasion ,sanctions ,Cause-Effect
"Di Giorgio , a food wholesaler and building products maker , is seeking alternatives to an unsolicited $ 32-a-share tender offer of DIG Acquisition Corp., a unit of Rose Partners Limited Partnership . Robert Mellor , Di Giorgio 's executive vice president , said the company stands to reap more money through the sale of individual units to others than by accepting DIG 's offer . ",offer and said have no relationship,offer ,said ,NONE
"By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been confirmed from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been planned . The ethnic Albanians here in Kosovo are considerably worried about the future and fear they are witnessing the beginnings of a much wider conflict . ",saying and worried have no relationship,saying ,worried ,NONE
"Confrontations among Catholic protesters , Protestant marchers and the police have provoked widespread violence in Northern Ireland for the past three summers . The discovery appeared to be the latest attempt by extremists opposed to the IRA 's 8-month-old truce to undermine the peace process , set to resume Monday in Belfast . ",provoked and undermine have no relationship,provoked ,undermine ,NONE
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners , alleging that the hostile offer violates a standstill agreement between the two concerns . ",offer and lawsuit have no relationship,offer ,lawsuit ,NONE
"According to the filing , Hewlett - Packard acquired 730,070 common shares from Octel as a result of an Aug . 10 , 1988 , stock purchase agreement . ",agreement is the cause of acquired ,agreement ,acquired ,Cause-Effect
Advanced Medical paid $ 106 million in cash for its share in a unit of Henley 's Fisher Scientific subsidiary . Advanced Medical Technologies Inc. said it purchased 93 % of a unit of Henley Group Inc. ,paid and purchased have no relationship,paid ,purchased ,NONE
The slowdown raises questions about the economy 's strength because spending fueled much of the third-quarter GNP growth . ,fueled is the cause of raises ,fueled ,raises ,Cause-Effect
"The appointment takes effect Nov . 13 . The latest results include some unusual write-downs , which had an after-tax impact of $ 4.9 million . ",effect and writedowns have no relationship,effect ,writedowns ,NONE
"The transaction has been approved by Kyle 's board , but requires the approval of the company 's shareholders . The investor , Donald A. Wright , plans to run the company , said a spokesman for Kyle . ",approved and said have no relationship,approved ,said ,NONE
"The consumer-products and newsprint company said net rose to $ 108.8 million , or $ 1.35 a share , from $ 90.5 million , or $ 1.12 a share , a year ago . In the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share . ",rose and rose have no relationship,rose ,rose ,NONE
"Ratners Group PLC , a fast-growing , acquisition-minded London-based jeweler , raised its price for Seattle-based specialty jeweler Weisfield 's Inc. to $ 57.50 a share , or $ 62.1 million , from $ 50 a share , or $ 55 million , after another concern said it would be prepared to outbid Ratners 's initial offer . The acquisition of 87-store Weisfield 's raises Ratners 's U.S. presence to 450 stores . ",outbid and acquisition have no relationship,outbid ,acquisition ,NONE
"The No. 1 U.S. auto maker then wrote Jaguar that it intends "" to go to that 15 % "" level once it wins the U.S. clearance to go beyond $ 15 million , a Jaguar spokesman said yesterday . While the visit was unrelated to Jaguar , GM Chairman Roger Smith answered the legislators ' questions about it over lunch Tuesday . ",said and answered have no relationship,said ,answered ,NONE
"Late last week , representatives of Dow Jones and Telerate began negotiations about the terms of the offer , but those talks did n't result in any changes in the offer . ",talks is the cause of changes ,talks ,changes ,Cause-Effect
"RMS International Inc., Hasbrouk Heights , N.J., facing a cash-flow squeeze , said it is seeking other financing sources and waivers from debenture holders . For the nine months , the company reported a net loss of $ 608,413 , or 39 cents a share , compared with year-earlier net income of $ 967,809 , or 62 cents a share . ",said and loss have no relationship,said ,loss ,NONE
"Separately , Innopac reported a fourth-quarter loss of about C $ 2.6 million , or 18 Canadian cents a share , reflecting inventory write-downs . ",loss is the cause of writedowns ,loss ,writedowns ,Cause-Effect
"The source said the younger Bush "" sketched out for Sununu "" problems the president is encountering because of the chief of staff 's tenure . ",tenure is the cause of sketched ,tenure ,sketched ,Cause-Effect
"Salt Lake City-based First Security , with $ 5.4 billion in assets , said the agreement is subject to shareholder and regulatory approval , and that it hopes to complete the transaction early next year . ",subject and complete have no relationship,subject ,complete ,NONE
"Along with reduced volume , analysts said the nation 's fifth largest steelmaker was hurt by holding higher-cost inventory when raw material costs of such key products as nickel dropped . ",holding is the cause of hurt ,holding ,hurt ,Cause-Effect
"President Clinton rolled out the red carpet for prime minister Blair , welcoming him not only as a close ally , but a close friend . Washington and London are virtually alone in warning Iraq of military strikes if it does n't back down on the weapons inspection issue . ",welcoming and back have no relationship,welcoming ,back ,NONE
"The insurer 's earnings from commercial property / casualty lines fell 59 % in the latest quarter , while it lost $ 7.2 million in its personal property / casualty business , compared with earnings of $ 6.1 million a year ago . Travelers estimated that the California earthquake last month will result in a fourth-quarter pre-tax charge of less than $ 10 million . ",lost and earthquake have no relationship,lost ,earthquake ,NONE
"The Soviet Foreign Ministry said Soviet women , children and invalids would be permitted to leave Iraq . President Bush on Tuesday said the United States may extend its naval quarantine to Jordan 's Red Sea port of Aqaba to shut off Iraq 's last unhindered trade route . ",said and extend have no relationship,said ,extend ,NONE
"Ford might succeed because many shareholders are speculators keen for a full bid or institutional investors unhappy over Jaguar management 's handling of its current financial difficulties . "" There 's some price at which we 'd stop bidding . "" ",keen and bidding have no relationship,keen ,bidding ,NONE
"The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept . 26 , but it does n't change the terms and conditions of the offer except to extend its expiration date . The offer , which Telerate 's two independent directors have rejected as inadequate , previously had been scheduled to expire at midnight Friday . ",filed and offer have no relationship,filed ,offer ,NONE
""" The reason this is getting so much visibility is that some started shipping and announced early availability , "" said Hewlett - Packard 's Mr. Archuleta . "" We should not be seeing any more , "" said Bill Rash , Intel 's director for the 486 chip . ",getting and seeing have no relationship,getting ,seeing ,NONE
"ONEIDA Ltd. declared a 10 % stock dividend , payable Dec . 15 to stock of record Nov . 17 . The cash dividend paid on the common stock also will apply to the new shares , the company said . ",declared and paid have no relationship,declared ,paid ,NONE
The effort is being led by Contel . Nashua strengthened its poison-pill plan after announcing a Dutch firm is seeking to buy up to 25 % of the New Hampshire copier company . ,effort and strengthened have no relationship,effort ,strengthened ,NONE
"Dresdner Bank said it will also buy all shares tendered by shareholders on the Paris Stock Exchange at the same price from today through Nov . 17 . In addition , the bank has an option to buy a 30.84 % stake in BIP from Societe Generale after Jan . 1 , 1990 at 1,015 francs a share . ",buy and buy have no relationship,buy ,buy ,NONE
No one held her back . Just the fact that we 're doing the job that we 're doing makes us role models . ,held and makes have no relationship,held ,makes ,NONE
"The split was aimed at boosting the stock 's liquidity , said Brendan Barba , chairman of the Moonachie , N.J., maker of plastic film products . After the split , the company will have more than 4.7 million shares outstanding . ",boosting and split have no relationship,boosting ,split ,NONE
"Poughkeepsie Savings Bank said a plan to sell its South Carolina branch offices to First Citizens Bank , of Columbia , S.C., fell through . The bank also said its effort would continue past the Nov . 1 deadline set in that agreement and that the litigation between the two sides might resume as a result . ",said and litigation have no relationship,said ,litigation ,NONE
"Profit climbed to $ 98 million from $ 71 million in the petroleum segment , as Du Pont 's Conoco Inc. oil company was helped by crude oil prices higher than a year ago and by higher natural gas prices and volume . ",helped is the cause of climbed ,helped ,climbed ,Cause-Effect
"The spokesman said that the proposed guidelines caused Crossland to revise its business objectives and , consequently , to write down the asset value of some previous acquisitions . Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan . ",guidelines and developing have no relationship,guidelines ,developing ,NONE
The latest period had profit from continuing operations of $ 4 million . ,operations is the cause of had ,operations ,had ,Cause-Effect
"MOSCOW ( AP ) _ The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov , the Russian who gave his name to the world 's most widely wielded weapon , according to a news agency report Friday . ",help and according have no relationship,help ,according ,NONE
"Nevertheless , American officials over the weekend became more open in declaring that by destroying Saddam Hussein 's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans . ",destroying is the cause of destroy ,destroying ,destroy ,Cause-Effect
"Young 's Market Co., a wholesaler of spirits , wines and other goods , said it will merge with a new corporation formed by the Underwood family , which controls Young 's . The Underwood family said that holders of more than a majority of the stock of the company have approved the transaction by written consent . ",formed and approved have no relationship,formed ,approved ,NONE
"But in the past three months , stocks have plunged , interest rates have soared and the downturn all across Asia means that people are not spending here . ",downturn is the cause of spending ,downturn ,spending ,Cause-Effect
"Those withdrawals , most of which were transferred to other T. Rowe Price funds , followed little change in the fund 's sales picture this year through August . "" ",change is the cause of withdrawals ,change ,withdrawals ,Cause-Effect
"Sales rose 50 % to $ 2.1 billion from $ 1.4 billion . The latest quarter 's results , however , included a pretax gain of $ 13.7 million , or 20 cents a share , in the carrying value of the company 's investment in Conner Peripherals Inc. and a $ 7.6 million gain , or 11 cents a share , from the sale of one million Conner shares . ",rose and gain have no relationship,rose ,gain ,NONE
"Yet , paradoxically , the perception that the U.S. wants to destroy Iraq may increase Saddam Hussein 's support within the Iraqi military . ",wants is the cause of support ,wants ,support ,Cause-Effect
"Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses . Seagram closed at $ 84.75 , up 12.5 cents a share in Big Board trading . ",benefiting and closed have no relationship,benefiting ,closed ,NONE
Cabinet minister Michael Eitan said Sunday that Netanyahu 's remarks marked a substantive change in Israel 's position . ,remarks is the cause of change ,remarks ,change ,Cause-Effect
"U.S. Marines were said to have breached troublesome mine fields along the Iraqi lines but Pentagon officials said no amphibious assault on Kuwait 's beaches had begun . Finally , when Iraq failed to respond to the U.S. ultimatum , Mr. Bush let the ground offensive begin as previously planned Saturday night . ",assault and respond have no relationship,assault ,respond ,NONE
"The academy bought a hundred acres in Loudon county , Virginia , and asked for permission to build a fifty million dollar campus . The board will decide whether the Islamic Saudi Academy , funded by the government of Saudi Arabia , can move to Ashburn village , Virginia . ",asked and decide have no relationship,asked ,decide ,NONE
"He attributed the unusually high volume to broad-based selling on fears that the Thatcher government may be in turmoil and Britain 's Labor Party positioned to regain control of the government and renew efforts at nationalization . But they failed to sell these stocks to client investors , who were cautious about the sharp gains these issues made this week , the Wako official said . ",positioned and gains have no relationship,positioned ,gains ,NONE
"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority . ",assassination is the cause of rampage ,assassination ,rampage ,Cause-Effect
"At a news conference with US Vice President Al Gore in Jerusalem , Mr. Netanyahu suggested Israel might be willing to move a little on issues holding up peace , but he said he expects an equal effort from the Palestinians . Mr. Gore called on Israel to continue taking risks for peace . ",move and taking have no relationship,move ,taking ,NONE
""" Whatever capital it ( Sansui ) needs so it can compete and become a totally global entity capable of competing with the best in the world , that capital will be injected , "" Mr. Nadir said . ",needs is the cause of become ,needs ,become ,Cause-Effect
But they said Friday 's focus on the top-tier stocks telegraphed active overseas selling and showed the broad-based fears over the status of the U.K. economy and Britain 's currency in the wake of the upheaval in Prime Minister Margaret Thatcher 's cabinet . ,upheaval is the cause of showed ,upheaval ,showed ,Cause-Effect
The companies said the accord was unanimously approved by a special committee of Erbamont directors unaffiliated with Montedison . ,approved and said have no relationship,approved ,said ,NONE
"Sales , however , were little changed at 2.46 billion guilders , compared with 2.42 billion guilders . The earnings growth also was fueled by the company 's ability to cut net financing spending by half to around 15 million guilders . ",changed and growth have no relationship,changed ,growth ,NONE
"Profit from coal fell to $ 41 million from $ 58 million , partly because of a miners ' strike . ",strike is the cause of fell ,strike ,fell ,Cause-Effect
Iraq still has the potential to cause significant problems by using forces and weapons that do n't yet seem fully engaged . ,using is the cause of problems ,using ,problems ,Cause-Effect
"As reported , CNW agreed to be acquired by a group of investors led by Blackstone Capital Partners Limited Partnership for $ 50 a share , or about $ 950 million . CNW Corp. said the final step in the acquisition of the company has been completed with the merger of CNW with a subsidiary of Chicago amp North Western Holdings Corp. ",reported and completed have no relationship,reported ,completed ,NONE
"Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market . The battery plant , which makes rechargeable nickel cadmium and carbon zinc products , will be closed over the next year or so , a spokesman said . ",costs and makes have no relationship,costs ,makes ,NONE
LIN and BellSouth sweetened their merger agreement in an attempt to keep shareholders from tendering their shares to McCaw Cellular Communications . ,sweetened is the cause of tendering ,sweetened ,tendering ,Cause-Effect
"The charges were partly offset by a $ 2 million gain on the sale of investments of two joint ventures , he said . ",gain is the cause of offset ,gain ,offset ,Cause-Effect
"Junk-fund holders have barely broken even this year , as fat interest payments barely managed to offset declining prices . ",managed is the cause of broken ,managed ,broken ,Cause-Effect
"The divested Courtaulds textile operations had operating profit of # 50 million on # 980 million in revenue in the year ended March 31 . The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter . ",had and establishment have no relationship,had ,establishment ,NONE
"Earnings at Xerox 's financial-services operations actually rose slightly , but that was largely because capital gains at Crum amp Forster offset Hurricane Hugo payments and the reserves set up to cover future payments . ",offset is the cause of rose ,offset ,rose ,Cause-Effect
"The battery plant , which makes rechargeable nickel cadmium and carbon zinc products , will be closed over the next year or so , a spokesman said . Ralston said its Eveready battery unit was hurt by continuing economic problems in South America . ",said and hurt have no relationship,said ,hurt ,NONE
"That 's largely because of defensive measures they adopted after the 1987 crash , when individual investors fled the market and trading activity dwindled . ",dwindled and adopted have no relationship,dwindled ,adopted ,NONE
"The move rewards shareholders and should improve the stock 's liquidity , Oneida said . ",rewards is the cause of improve ,rewards ,improve ,Cause-Effect
Forecasters say the picture will get worse because more rains are on the way . ,rains is the cause of get ,rains ,get ,Cause-Effect
"The assassination touched off a murderous rampage by Hutu security forces and civilians , who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority . Foreign ministers of member-states meeting in the Ethiopian capital agreed to set up a seven-member panel to investigate who shot down Rwandan President Juvenal Habyarimana 's plane on April 6 , 1994 . ",rampage and agreed have no relationship,rampage ,agreed ,NONE
"His advisers said the results reflected not just from balancing the budget , but also initiatives like improved access to education and training and the opening of foreign markets to trade . ",balancing is the cause of results ,balancing ,results ,Cause-Effect
There was a suspicion the body was Blassie because his uniform and ID card were found near the body in Vietnam . CBS News first reported last night that the tomb may contain the remains of Air Force pilot Michael Blassie . ,found and contain have no relationship,found ,contain ,NONE
""" We anticipate that steel market conditions will exhibit a further moderate decline in the fourth quarter as the automotive sector remains weak and customers continue to adjust inventories , "" said Bethlehem Chairman Walter F. Williams . Bethlehem Steel Corp., hammered by higher costs and lower shipments to key automotive and service-center customers , posted a 54 % drop in third-quarter profit . ",decline and hammered have no relationship,decline ,hammered ,NONE
An elderly Catholic man was hospitalized from cuts after a Protestant gasoline bomb landed in his back yard . ,cuts is the cause of hospitalized ,cuts ,hospitalized ,Cause-Effect
"RJR Nabisco Inc. said it agreed to sell its Baby Ruth , Butterfinger and Pearson candy businesses to Nestle S.A.'s Nestle Foods unit for $ 370 million . "" This means Nestle is now in the candybar business in a big way , "" said Lisbeth Echeandia , publisher of Orlando , Fla . -based Confectioner Magazine . ",agreed and said have no relationship,agreed ,said ,NONE
"Initially , the company said it will close its commercial real-estate lending division , and stop originating new leases at its commercial lease subsidiary . The company said the restructuring 's initial phase will feature a gradual reduction in assets and staff positions . ",stop and said have no relationship,stop ,said ,NONE
"Ratners Group PLC 's U.S. subsidiary has agreed to acquire jewelry retailer Weisfield 's Inc. for $ 50 a share , or about $ 55 million . Ratners and Weisfield 's said they reached an agreement in principle for the acquisition of Weisfield 's by Sterling Inc. ",acquire and acquisition have no relationship,acquire ,acquisition ,NONE
"The combined effect of these changes is expected to save the company about $ 4 million in interest expenses next year , or six cents a share . The company has made payments of $ 175 million against the original $ 585 million of bank debt incurred in connection with the recapitalization . ",expected and made have no relationship,expected ,made ,NONE
"General Motors Corp.'s big defense and automotive electronics unit , GM Hughes Electronics , said net income fell 22 % in the third quarter , reflecting declining military spending and slumping GM vehicle production . ",fell is the cause of slumping ,fell ,slumping ,Cause-Effect
"What 's more , the bugs only emerge on esoteric applications such as computer-aided design and scientific calculations , he said , and then very seldom . Intel said it had corrected the problems and would start producing bugless chips next week . ",said and start have no relationship,said ,start ,NONE
So that means soil will fall off in chunks and destroy anything in its path . Experts say the ground is so saturated it can not absorb any more water . ,fall and say have no relationship,fall ,say ,NONE
""" It makes no sense for us to put money at risk when you know you 're going to lose , "" says Mr. Antolini , of Donaldson Lufkin . Moreover , the price volatility that is amplified by program trading is undercutting efforts to woo individual investors back to an OTC market that sorely misses them . ",sense and woo have no relationship,sense ,woo ,NONE
"In the largest U.S. military operation since Vietnam , an estimated 20,000 American GIs have already massed to defend Saudi Arabia . There was no independent confirmation of the report by the government-run news agency , which did not say when the reported attempt occurred . ",massed and attempt have no relationship,massed ,attempt ,NONE
"Then yesterday , he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel 's occupation of the West Bank . ",occupation is the cause of occupation ,occupation ,occupation ,Cause-Effect
UNOS spokeswoman Donna Henry Wright says the new policy would not necessarily be more fair or effective because allowances are already made for the most needy patients . ,made is the cause of effective ,made ,effective ,Cause-Effect
"A spokesman said herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains , thus increasing sales in the third quarter . ",rains is the cause of delayed ,rains ,delayed ,Cause-Effect
More heavy gunfire in the Serbian province of Kosovo . The ethnic Albanians here in Kosovo are considerably worried about the future and fear they are witnessing the beginnings of a much wider conflict . ,gunfire and worried have no relationship,gunfire ,worried ,NONE
Ocean Drilling said it will offer 15 % to 20 % of the contract-drilling business through an initial public offering in the near future . ,offer and said have no relationship,offer ,said ,NONE
